CAMPUS,DNAME,CNAME,GRADE,District Type,School Site Street Address,School Site City,School Site Zip,Below Grade Level,Approach Grade Level,Meet Grade Level,Master Grade Level
15907114,SAN ANTONIO ISD,CAMERON ELEM.,3,INDEPENDENT,3635 BELGIUM LN,SAN ANTONIO,78219,34,32,8,2
15907116,SAN ANTONIO ISD,COLLINS GARDEN,3,INDEPENDENT,167 HARRIMAN PL,SAN ANTONIO,78204-2453,28,33,17,8
15907117,SAN ANTONIO ISD,AGNES COTTON AC,3,INDEPENDENT,1616 BLANCO RD,SAN ANTONIO,78212-2796,6,28,20,12
15907118,SAN ANTONIO ISD,DAVID CROCKETT,3,INDEPENDENT,2215 MORALES ST,SAN ANTONIO,78207-2599,27,41,14,6
15907119,SAN ANTONIO ISD,DOUGLASS ACAD.,3,INDEPENDENT,318 MARTIN LUTHER KING,SAN ANTONIO,78203,18,20,5,1
15907121,SAN ANTONIO ISD,DE ZAVALA ELEM.,3,INDEPENDENT,2311 SAN LUIS ST,SAN ANTONIO,78207-4736,15,38,18,9
15907123,SAN ANTONIO ISD,FENWICK ACAD.,3,INDEPENDENT,1930 WAVERLY AVE,SAN ANTONIO,78228-5399,21,20,7,4
15907124,SAN ANTONIO ISD,MURIEL FORBES A,3,INDEPENDENT,2630 SALLY GAY DR,SAN ANTONIO,78223-2239,6,27,11,4
15907125,SAN ANTONIO ISD,FOSTER ACAD.,3,INDEPENDENT,6718 PECAN VLY DR,SAN ANTONIO,78223-3120,24,34,13,3
15907126,SAN ANTONIO ISD,FRANKLIN ELEM.,3,INDEPENDENT,1915 W OLMOS DR,SAN ANTONIO,78201-3999,19,32,20,14
15907127,SAN ANTONIO ISD,GATES ELEM.,3,INDEPENDENT,510 MORNINGVIEW DR,SAN ANTONIO,78220-3299,7,21,10,4
15907129,SAN ANTONIO ISD,CHARLES GRAEBNE,3,INDEPENDENT,530 HOOVER ST,SAN ANTONIO,78225-2229,28,38,18,8
15907131,SAN ANTONIO ISD,ROBERT B. GREEN,3,INDEPENDENT,122 W WHITTIER ST,SAN ANTONIO,78210-2895,5,14,8,2
15907132,SAN ANTONIO ISD,HERFF ACAD.,3,INDEPENDENT,996 S HACKBERRY,SAN ANTONIO,78210,16,21,4,0
15907134,SAN ANTONIO ISD,HIGHLAND HILLS,3,INDEPENDENT,734 GLAMIS AVE,SAN ANTONIO,78223-1534,21,65,39,21
15907135,SAN ANTONIO ISD,HIGHLAND PARK E,3,INDEPENDENT,635 RIGSBY AVE,SAN ANTONIO,78210-3099,18,36,22,14
15907136,SAN ANTONIO ISD,HILLCREST ELEM.,3,INDEPENDENT,211 W MALONE AVE,SAN ANTONIO,78214-1024,8,28,14,3
15907137,SAN ANTONIO ISD,HIRSCH ELEM.,3,INDEPENDENT,4826 SEABREEZE DR,SAN ANTONIO,78220-4809,50,64,28,18
15907139,SAN ANTONIO ISD,HUPPERTZ ELEM.,3,INDEPENDENT,247 BANGOR DR,SAN ANTONIO,78228-4799,26,24,14,8
15907140,SAN ANTONIO ISD,RODRIGUEZ ELEM.,3,,,,,15,26,12,5
15907141,SAN ANTONIO ISD,ELOISE JAPHET A,3,INDEPENDENT,314 ASTOR ST,SAN ANTONIO,78210-5198,39,45,20,7
15907142,SAN ANTONIO ISD,M.L. KING ACAD.,3,INDEPENDENT,3501 MARTIN LUTHER KING DR,SAN ANTONIO,78220-2399,19,14,6,2
15907143,SAN ANTONIO ISD,GEORGE E. KELLY,3,INDEPENDENT,1026 THOMPSON PL,SAN ANTONIO,78226-1495,9,26,13,6
15907144,SAN ANTONIO ISD,SARAH S. KING E,3,INDEPENDENT,1001 CERALVO ST,SAN ANTONIO,78207-7199,22,45,17,6
15907146,SAN ANTONIO ISD,LAMAR ELEM.,3,INDEPENDENT,201 PARLAND PL,SAN ANTONIO,78209-6530,10,27,15,8
15907147,SAN ANTONIO ISD,BOWDEN ACAD.,3,INDEPENDENT,515 WILLOW ST,SAN ANTONIO,78202-1297,28,18,8,1
15907148,SAN ANTONIO ISD,MADISON ELEM.,3,INDEPENDENT,2900 W WOODLAWN AVE,SAN ANTONIO,78228-5099,21,37,26,8
15907149,SAN ANTONIO ISD,MARGIL ACAD.,3,INDEPENDENT,1000 PEREZ ST,SAN ANTONIO,78207,27,41,16,7
15907150,SAN ANTONIO ISD,MAVERICK ELEM.,3,INDEPENDENT,107 RALEIGH PL,SAN ANTONIO,78201-3113,24,36,21,14
15907153,SAN ANTONIO ISD,DORIE MILLER EL,3,INDEPENDENT,207 LINCOLNSHIRE DR,SAN ANTONIO,78220-3199,5,19,7,4
15907155,SAN ANTONIO ISD,NEAL ELEM.,3,INDEPENDENT,3407 CAPITOL AVE,SAN ANTONIO,78201-2503,9,29,13,6
15907157,SAN ANTONIO ISD,OGDEN ACAD.,3,INDEPENDENT,2215 LEAL ST,SAN ANTONIO,78207-2099,27,58,32,12
15907158,SAN ANTONIO ISD,PERSHING ELEM.,3,INDEPENDENT,600 SANDMEYER ST,SAN ANTONIO,78208-1699,16,29,16,7
15907160,SAN ANTONIO ISD,RIVERSIDE PARK,3,INDEPENDENT,202 SCHOOL ST,SAN ANTONIO,78210-3940,17,20,6,2
15907161,SAN ANTONIO ISD,ROGERS ACAD.,3,INDEPENDENT,620 MCILVAINE,SAN ANTONIO,78212-1898,28,31,11,7
15907162,SAN ANTONIO ISD,DAVID BARKLEY-F,3,INDEPENDENT,1111 S NAVIDAD ST,SAN ANTONIO,78207-5824,40,42,12,6
15907163,SAN ANTONIO ISD,MARK TWAIN DUAL,3,INDEPENDENT,2411 SAN PEDRO,SAN ANTONIO,78212,1,18,11,9
15907164,SAN ANTONIO ISD,SCHENCK ELEM.,3,INDEPENDENT,101 KATE SCHENCK AVE,SAN ANTONIO,78223-3305,18,43,21,9
15907165,SAN ANTONIO ISD,SMITH ELEM.,3,INDEPENDENT,823 S GEVERS ST,SAN ANTONIO,78203-1896,21,16,7,2
15907168,SAN ANTONIO ISD,P.F. STEWART EL,3,INDEPENDENT,1950 RIGSBY AVE,SAN ANTONIO,78210-4433,21,19,7,4
15907169,SAN ANTONIO ISD,STORM ELEM.,3,INDEPENDENT,435 BRADY BLVD,SAN ANTONIO,78207-8099,23,21,7,1
15907172,SAN ANTONIO ISD,WASHINGTON ELEM,3,INDEPENDENT,1823 NOLAN ST,SAN ANTONIO,78202-2496,9,27,15,4
15907174,SAN ANTONIO ISD,WILSON ELEM.,3,INDEPENDENT,1421 CLOWER ST,SAN ANTONIO,78201-3699,8,23,14,7
15907175,SAN ANTONIO ISD,WOODLAWN ACAD.,3,INDEPENDENT,1717 W MAGNOLIA AVE,SAN ANTONIO,78201-5498,22,29,18,11
15907176,SAN ANTONIO ISD,WOODLAWN HILLS,3,INDEPENDENT,110 W QUILL DR,SAN ANTONIO,78228-4094,21,22,7,1
15907179,SAN ANTONIO ISD,HAWTHORNE PRE-K,3,INDEPENDENT,115 W JOSEPHINE ST,SAN ANTONIO,78212-4186,20,48,27,9
15907201,SAN ANTONIO ISD,CHILDREN'S SHEL,3,INDEPENDENT,2939 W WIOODLAWN,SAN ANTONIO,78228,,,,
15907210,SAN ANTONIO ISD,MISSION ACAD.,3,INDEPENDENT,9210 S PRESA ST,SAN ANTONIO,78223,14,41,21,12
15908104,SOUTH SAN ANTON,HUTCHINS ELEM.,3,INDEPENDENT,1919 W HUTCHINS PL,SAN ANTONIO,78224-1699,18,47,26,12
15908105,SOUTH SAN ANTON,KINDRED ELEM.,3,INDEPENDENT,7811 KINDRED ST,SAN ANTONIO,78224-1299,26,29,8,3
15908106,SOUTH SAN ANTON,PALO ALTO ELEM.,3,INDEPENDENT,1725 PALO ALTO RD,SAN ANTONIO,78211-4099,24,58,27,15
15908107,SOUTH SAN ANTON,PRICE ELEM.,3,INDEPENDENT,245 PRICE AVE,SAN ANTONIO,78211-2907,18,21,10,3
15908108,SOUTH SAN ANTON,FRANK MADLA ELE,3,INDEPENDENT,6100 ROYALGATE DR,SAN ANTONIO,78242-1199,39,45,22,5
15908109,SOUTH SAN ANTON,FIVE PALMS ELEM,3,INDEPENDENT,7138 FIVE PALMS DR,SAN ANTONIO,78242-1699,26,42,14,3
15908110,SOUTH SAN ANTON,NEIL ARMSTRONG,3,INDEPENDENT,7111 APPLE VALLEY DR,SAN ANTONIO,78242-2099,21,48,23,7
15908112,SOUTH SAN ANTON,MIGUEL CARRILLO,3,INDEPENDENT,500 PRICE AVE,SAN ANTONIO,78211-4298,40,28,8,4
15908113,SOUTH SAN ANTON,ROY BENAVIDEZ E,3,INDEPENDENT,8340 SO IH 35,SAN ANTONIO,78224,49,74,33,10
15909101,SOMERSET ISD,SOMERSET ELEM.,3,INDEPENDENT,7840 6TH ST,SOMERSET,78069-0279,25,150,103,52
15909104,SOMERSET ISD,STAFF SERGEANT,3,INDEPENDENT,4135 SMITH RD,VON ORMY,78073,38,86,52,20
15910101,NORTH EAST ISD,CASTLE HILLS EL,3,INDEPENDENT,200 LEMONWOOD,SAN ANTONIO,78213-2409,11,71,51,28
15910102,NORTH EAST ISD,COKER ELEM.,3,INDEPENDENT,302 HEIMER RD,SAN ANTONIO,78232-4887,20,94,47,22
15910103,NORTH EAST ISD,COLONIAL HILLS,3,INDEPENDENT,2627 KERRYBROOK CT,SAN ANTONIO,78230-4534,36,35,21,12
15910104,NORTH EAST ISD,DELLVIEW ELEM.,3,INDEPENDENT,7235 DEWHURST RD,SAN ANTONIO,78213-3437,4,33,20,6
15910105,NORTH EAST ISD,EAST TERRELL HI,3,INDEPENDENT,4415 BLOOMDALE DR,SAN ANTONIO,78218-3626,24,28,19,4
15910106,NORTH EAST ISD,HARMONY HILLS E,3,INDEPENDENT,10727 MEMORY LN,SAN ANTONIO,78216-3400,27,70,32,11
15910107,NORTH EAST ISD,JACKSON-KELLER,3,INDEPENDENT,1601 JACKSON KELLER RD,SAN ANTONIO,78213-3231,22,53,29,12
15910108,NORTH EAST ISD,LARKSPUR ELEM.,3,INDEPENDENT,1802 LARKSPUR,SAN ANTONIO,78213-1436,37,49,17,8
15910109,NORTH EAST ISD,NORTHWOOD ELEM.,3,INDEPENDENT,519 PIKE RD,SAN ANTONIO,78209-3142,9,64,51,22
15910110,NORTH EAST ISD,OAK GROVE ELEM.,3,INDEPENDENT,3250 NACOGDOCHES RD,SAN ANTONIO,78217-3393,12,23,12,8
15910111,NORTH EAST ISD,OLMOS ELEM.,3,INDEPENDENT,1103 ALLENA DR,SAN ANTONIO,78213-4107,8,31,12,1
15910112,NORTH EAST ISD,RIDGEVIEW ELEM.,3,INDEPENDENT,8223 N MCCULLOUGH AVE,SAN ANTONIO,78216-6499,9,49,27,14
15910113,NORTH EAST ISD,SERNA ELEM.,3,INDEPENDENT,2569 N E LOOP 410,SAN ANTONIO,78217-5606,40,29,11,6
15910114,NORTH EAST ISD,WALZEM ELEM.,3,INDEPENDENT,4618 WALZEM RD,SAN ANTONIO,78218-1609,17,21,8,3
15910115,NORTH EAST ISD,WEST AVENUE ELE,3,,,,,18,25,8,5
15910116,NORTH EAST ISD,WILSHIRE ELEM.,3,INDEPENDENT,6523 CASCADE,SAN ANTONIO,78218-4210,13,41,24,10
15910117,NORTH EAST ISD,WINDCREST ELEM.,3,INDEPENDENT,465 FAIRCREST DR,SAN ANTONIO,78239-2448,26,65,30,10
15910118,NORTH EAST ISD,CAMELOT ELEM.,3,INDEPENDENT,7410 RAY BON DR,SAN ANTONIO,78218-2840,37,55,23,8
15910119,NORTH EAST ISD,CLEAR SPRING EL,3,INDEPENDENT,4311 CLEAR SPRING DR,SAN ANTONIO,78217-3605,24,33,7,1
15910120,NORTH EAST ISD,REGENCY PLACE E,3,INDEPENDENT,10222 BROADWAY,SAN ANTONIO,78217-4501,12,12,6,0
15910121,NORTH EAST ISD,EL DORADO ELEM.,3,INDEPENDENT,12634 EL SENDERO,SAN ANTONIO,78233-6396,43,30,9,3
15910122,NORTH EAST ISD,MONTGOMERY ELEM,3,INDEPENDENT,7047 MONTGOMERY DR,SAN ANTONIO,78239-3398,29,33,12,4
15910123,NORTH EAST ISD,HIDDEN FOREST E,3,INDEPENDENT,802 SILVER SPRUCE,SAN ANTONIO,78232-2700,7,92,75,49
15910124,NORTH EAST ISD,WOODSTONE ELEM.,3,INDEPENDENT,5602 FOUNTAINWOOD,SAN ANTONIO,78233-4999,32,59,30,14
15910125,NORTH EAST ISD,STAHL ELEM.,3,INDEPENDENT,5222 STAHL RD,SAN ANTONIO,78247-1713,35,83,38,13
15910126,NORTH EAST ISD,THOUSAND OAKS E,3,INDEPENDENT,16080 HENDERSON PASS,SAN ANTONIO,78232-3299,28,78,42,23
15910127,NORTH EAST ISD,NORTHERN HILLS,3,INDEPENDENT,13901 HIGGINS RD,SAN ANTONIO,78217-1243,31,72,34,12
15910128,NORTH EAST ISD,REDLAND OAKS EL,3,INDEPENDENT,16650 REDLAND RD,SAN ANTONIO,78247-4424,7,61,48,23
15910129,NORTH EAST ISD,ENCINO PARK ELE,3,INDEPENDENT,2550 ENCINO RIO,SAN ANTONIO,78259-2031,9,91,75,42
15910130,NORTH EAST ISD,FOX RUN ELEM.,3,INDEPENDENT,6111 FOX CREEK,SAN ANTONIO,78247-1127,14,74,43,21
15910131,NORTH EAST ISD,OAK MEADOW ELEM,3,INDEPENDENT,2800 HUNTERS GREEN ST,SAN ANTONIO,78231-1602,9,55,46,24
15910133,NORTH EAST ISD,STONE OAK ELEM.,3,INDEPENDENT,21045 CRESENT OAK,SAN ANTONIO,78258-3228,8,102,83,53
15910134,NORTH EAST ISD,LONGS CREEK ELE,3,INDEPENDENT,15806 O'CONNOR,SAN ANTONIO,78247-1711,6,87,67,35
15910135,NORTH EAST ISD,HUEBNER ELEM.,3,INDEPENDENT,16311 HUEBNER RD,SAN ANTONIO,78248-1696,18,88,59,43
15910136,NORTH EAST ISD,HARDY OAK ELEM.,3,INDEPENDENT,22900 HARDY OAK BLVD,SAN ANTONIO,78258-3914,6,116,93,63
15910137,NORTH EAST ISD,WETMORE ELEM.,3,INDEPENDENT,3250 THOUSAND OAKS,SAN ANTONIO,78247-3317,29,65,36,16
15910138,NORTH EAST ISD,ROYAL RIDGE ELE,3,INDEPENDENT,5933 ROYAL RIDGE,SAN ANTONIO,78239-1500,31,73,33,9
15910139,NORTH EAST ISD,ROAN FOREST ELE,3,INDEPENDENT,22710 ROAN PARK,SAN ANTONIO,78259-2682,5,95,81,46
15910140,NORTH EAST ISD,CANYON RIDGE EL,3,INDEPENDENT,20522 STONE OAK PKWY,SAN ANTONIO,78258-6927,17,85,61,36
15910141,NORTH EAST ISD,STEUBING RANCH,3,INDEPENDENT,5100 KNOLL CREEK,SAN ANTONIO,78247-5857,18,102,69,33
15910142,NORTH EAST ISD,BULVERDE CREEK,3,INDEPENDENT,3839 CANYON PKWY,SAN ANTONIO,78259-2367,20,143,110,69
15910143,NORTH EAST ISD,WILDERNESS OAK,3,INDEPENDENT,21019 WILDERNESS OAK,SAN ANTONIO,78258-2633,5,93,67,43
15910144,NORTH EAST ISD,TUSCANY HEIGHTS,3,INDEPENDENT,25001 WILDERNESS OAK,SAN ANTONIO,78260,9,110,83,46
15910145,NORTH EAST ISD,CIBOLO GREEN,3,INDEPENDENT,24315 BULVERDE GREEN,SAN ANTONIO,78261,10,128,85,56
15910146,NORTH EAST ISD,LAS LOMAS ELEM.,3,INDEPENDENT,20303 HARDY OAK,SAN ANTONIO,78258,19,63,36,21
15910147,NORTH EAST ISD,VINEYARD RANCH,3,INDEPENDENT,16818 HUEBNER RD,SAN ANTONIO,78258,7,92,72,49
15911102,EAST CENTRAL IS,HARMONY ELEM.,3,INDEPENDENT,10625 GREEN LK DR,SAN ANTONIO,78223-4261,21,75,40,12
15911103,EAST CENTRAL IS,PECAN VALLEY EL,3,INDEPENDENT,3966 E SOUTHCROSS BLVD,SAN ANTONIO,78222-3589,33,71,41,17
15911104,EAST CENTRAL IS,SINCLAIR ELEM.,3,INDEPENDENT,6126 SINCLAIR RD,SAN ANTONIO,78222-2439,39,77,36,12
15911106,EAST CENTRAL IS,HIGHLAND FOREST,3,INDEPENDENT,3736 S E MILITARY DR,SAN ANTONIO,78223-4000,48,61,25,8
15911108,EAST CENTRAL IS,TRADITION ELEM.,3,INDEPENDENT,12885 FM 1346,ST HEDWIG,78152,40,68,34,10
15911110,EAST CENTRAL IS,OAK CREST ELEM.,3,INDEPENDENT,7806 NEW SULPHUR SPRINGS RD,SAN ANTONIO,78263,17,29,17,7
15912101,SOUTHWEST ISD,SOUTHWEST ELEM.,3,INDEPENDENT,11914 DRAGON LN,SAN ANTONIO,78252-2647,20,57,33,20
15912102,SOUTHWEST ISD,SUN VALLEY ELEM,3,INDEPENDENT,6803 S W LOOP 410,SAN ANTONIO,78227,25,67,41,22
15912103,SOUTHWEST ISD,INDIAN CREEK EL,3,INDEPENDENT,5830 OLD PEARSALL RD,SAN ANTONIO,78242,23,52,28,12
15912104,SOUTHWEST ISD,BOB HOPE ELEM.,3,INDEPENDENT,3022 REFORMA,SAN ANTONIO,78211,11,36,19,9
15912105,SOUTHWEST ISD,SKY HARBOUR ELE,3,INDEPENDENT,5902 FISHERS BEND,SAN ANTONIO,78242,26,52,33,14
15912106,SOUTHWEST ISD,HIDDEN COVE ELE,3,INDEPENDENT,5102 TRADING POST,SAN ANTONIO,78242,28,48,23,13
15912107,SOUTHWEST ISD,BIG COUNTRY ELE,3,INDEPENDENT,2250 PUE RD,SAN ANTONIO,78245,26,79,44,22
15912108,SOUTHWEST ISD,ELM CREEK ELEM.,3,INDEPENDENT,11535 PEARSALL RD,ATASCOSA,78002,19,90,52,24
15912109,SOUTHWEST ISD,KRIEWALD ROAD E,3,INDEPENDENT,10355 KRIEWALD RD,SAN ANTONIO,78245,15,64,37,21
15912110,SOUTHWEST ISD,SPICEWOOD PARK,3,INDEPENDENT,11303 TILSON,SAN ANTONIO,78224,28,43,19,11
15912111,SOUTHWEST ISD,MEDIO CREEK ELE,3,INDEPENDENT,6511 OLD PEARSALL RD,SAN ANTONIO,78252,20,52,33,13
15913101,LACKLAND ISD,LACKLAND ELEM.,3,INDEPENDENT,2460 KENLY AVE BLDG 8265,SAN ANTONIO,78236-1244,13,82,53,25
15914101,FORT SAM HOUSTO,FORT SAM HOUSTO,3,INDEPENDENT,4351 NURSERY RD,SAN ANTONIO,78234-1499,20,108,65,29
15915101,NORTHSIDE ISD,CABLE ELEM.,3,INDEPENDENT,1706 PINN RD,SAN ANTONIO,78227-2998,27,40,12,1
15915102,NORTHSIDE ISD,GLENN ELEM.,3,INDEPENDENT,2385 HORAL,SAN ANTONIO,78227-2499,30,56,29,9
15915103,NORTHSIDE ISD,GLENOAKS ELEM.,3,INDEPENDENT,5103 NEWCOME DR,SAN ANTONIO,78229-4924,28,71,43,20
15915104,NORTHSIDE ISD,HELOTES ELEM.,3,INDEPENDENT,13878 RIGGS RD,HELOTES,78023-3916,16,56,37,23
15915105,NORTHSIDE ISD,HULL ELEM.,3,INDEPENDENT,7320 REMUDA DR,SAN ANTONIO,78227-2899,17,41,21,10
15915106,NORTHSIDE ISD,ALLEN ELEM.,3,INDEPENDENT,101 DUMONT DR,SAN ANTONIO,78227-4499,20,61,28,10
15915107,NORTHSIDE ISD,FISHER ELEM.,3,INDEPENDENT,3430 BARREL PASS,SAN ANTONIO,78245,19,95,59,29
15915108,NORTHSIDE ISD,LEON VALLEY ELE,3,INDEPENDENT,7111 HUEBNER RD,SAN ANTONIO,78240-3199,12,62,25,9
15915109,NORTHSIDE ISD,LOCKE HILL ELEM,3,INDEPENDENT,5050 DE ZAVALA RD,SAN ANTONIO,78249-2099,23,79,55,34
15915111,NORTHSIDE ISD,GLASS ELEM.,3,INDEPENDENT,519 CLEARVIEW DR,SAN ANTONIO,78228-2498,38,51,28,10
15915112,NORTHSIDE ISD,POWELL ELEM.,3,INDEPENDENT,6003 THUNDER DR,SAN ANTONIO,78238-3499,22,63,39,21
15915113,NORTHSIDE ISD,VALLEY HI ELEM.,3,INDEPENDENT,8503 RAY ELLISON DR,SAN ANTONIO,78227-4599,12,47,26,13
15915114,NORTHSIDE ISD,WESTWOOD TERRAC,3,INDEPENDENT,2315 HACKAMORE LN,SAN ANTONIO,78227-3499,18,68,41,20
15915115,NORTHSIDE ISD,COLONIES NORTH,3,INDEPENDENT,9915 NORTHAMPTON DR,SAN ANTONIO,78230-4081,45,53,28,11
15915116,NORTHSIDE ISD,VILLARREAL ELEM,3,INDEPENDENT,2902 WHITE TAIL DR,SAN ANTONIO,78228-2799,21,56,26,9
15915117,NORTHSIDE ISD,MEADOW VILLAGE,3,INDEPENDENT,1406 MEADOW WAY DR,SAN ANTONIO,78227-1642,26,48,18,4
15915118,NORTHSIDE ISD,OAK HILLS TERRA,3,INDEPENDENT,5710 CARY GRANT DR,SAN ANTONIO,78240-2499,39,78,35,8
15915119,NORTHSIDE ISD,HOWSMAN ELEM.,3,INDEPENDENT,11431 VANCE JACKSON RD,SAN ANTONIO,78230-1899,26,52,20,10
15915122,NORTHSIDE ISD,PASSMORE ELEM.,3,INDEPENDENT,570 PINN RD,SAN ANTONIO,78227-1299,39,52,23,7
15915123,NORTHSIDE ISD,ADAMS HILL ELEM,3,INDEPENDENT,9627 ADAMS HILL DR,SAN ANTONIO,78245-1999,23,55,29,8
15915124,NORTHSIDE ISD,ESPARZA ELEM.,3,INDEPENDENT,5700 HEMPHILL DR,SAN ANTONIO,78228-4392,15,35,6,1
15915125,NORTHSIDE ISD,BOONE ELEM.,3,INDEPENDENT,6614 SPRINGTIME DR,SAN ANTONIO,78249-2799,39,38,16,6
15915128,NORTHSIDE ISD,CARLOS COON ELE,3,INDEPENDENT,3110 TIMBER VIEW,SAN ANTONIO,78251-1899,31,75,45,22
15915130,NORTHSIDE ISD,MURNIN ELEM.,3,INDEPENDENT,9019 DUGAS,SAN ANTONIO,78251,21,109,70,31
15915131,NORTHSIDE ISD,LINTON ELEM.,3,INDEPENDENT,2103 OAKHILL RD,SAN ANTONIO,78238-4999,25,52,22,11
15915132,NORTHSIDE ISD,TIMBERWILDE ELE,3,INDEPENDENT,8838 TIMBERWILDE,SAN ANTONIO,78250-4330,22,60,32,15
15915134,NORTHSIDE ISD,BRAUN STATION E,3,INDEPENDENT,8631 TEZEL RD,SAN ANTONIO,78254,18,57,40,21
15915135,NORTHSIDE ISD,CODY ELEM.,3,INDEPENDENT,10403 DUGAS DR,SAN ANTONIO,78245-1099,29,58,29,8
15915136,NORTHSIDE ISD,NORTHWEST CROSS,3,INDEPENDENT,10255 DOVER RDG,SAN ANTONIO,78250-2969,11,57,32,13
15915138,NORTHSIDE ISD,KNOWLTON ELEM.,3,INDEPENDENT,9500 TIMBER PATH,SAN ANTONIO,78250-3900,18,60,32,10
15915141,NORTHSIDE ISD,FORESTER ELEM.,3,INDEPENDENT,10726 ROUSSEAU,SAN ANTONIO,78245,27,121,82,46
15915143,NORTHSIDE ISD,SCOBEE ELEM.,3,INDEPENDENT,11223 CEDAR PARK,SAN ANTONIO,78249-4289,18,75,41,24
15915144,NORTHSIDE ISD,GALM ELEM.,3,INDEPENDENT,1454 SAXON HILL DR,SAN ANTONIO,78253-5922,31,76,34,17
15915145,NORTHSIDE ISD,ELROD ELEM.,3,INDEPENDENT,8885 HEATH CIR DR,SAN ANTONIO,78250-4657,12,57,39,16
15915148,NORTHSIDE ISD,WANKE ELEM.,3,INDEPENDENT,10419 OLD PRUE RD,SAN ANTONIO,78249,34,80,42,17
15915149,NORTHSIDE ISD,THORNTON ELEM.,3,INDEPENDENT,6450 PEMBROKE,SAN ANTONIO,78240-2585,30,53,29,14
15915150,NORTHSIDE ISD,BRAUCHLE ELEM.,3,INDEPENDENT,8555 BOWENS CROSSING,SAN ANTONIO,78250-2719,17,82,45,18
15915151,NORTHSIDE ISD,FERNANDEZ ELEM.,3,INDEPENDENT,6845 RIDGEBROOK,SAN ANTONIO,78250-3839,16,79,52,24
15915152,NORTHSIDE ISD,LEON SPRINGS EL,3,INDEPENDENT,23881 IH 10 W,SAN ANTONIO,78257-1157,6,80,64,39
15915156,NORTHSIDE ISD,EVERS ELEM.,3,INDEPENDENT,1715 RICHLAND HILLS DR,SAN ANTONIO,78251-2979,41,88,46,16
15915157,NORTHSIDE ISD,MAY ELEM.,3,INDEPENDENT,15707 CHASE HILL,SAN ANTONIO,78256-1014,10,52,27,9
15915158,NORTHSIDE ISD,MCDERMOTT ELEM.,3,INDEPENDENT,5111 USAA BLVD,SAN ANTONIO,78240-5010,28,90,52,31
15915160,NORTHSIDE ISD,MYERS ELEM.,3,INDEPENDENT,3031 VILLAGE PKWY,SAN ANTONIO,78251-1830,23,67,40,14
15915161,NORTHSIDE ISD,STEUBING ELEM.,3,INDEPENDENT,11655 BRAEFIELD,SAN ANTONIO,78249-1699,12,77,43,26
15915162,NORTHSIDE ISD,MICHAEL ELEM.,3,INDEPENDENT,3155 QUIET PLAIN,SAN ANTONIO,78245-3039,46,73,27,12
15915165,NORTHSIDE ISD,CARSON ELEM.,3,INDEPENDENT,8151 OLD TEZEL RD,SAN ANTONIO,78250-3084,22,79,45,20
15915166,NORTHSIDE ISD,BURKE ELEM.,3,INDEPENDENT,10111 TERRA OAK,SAN ANTONIO,78250-3380,19,50,31,11
15915167,NORTHSIDE ISD,RABA ELEM.,3,INDEPENDENT,9740 MISTY ROCK,SAN ANTONIO,78251-4723,24,82,60,27
15915168,NORTHSIDE ISD,LEWIS ELEM.,3,INDEPENDENT,1000 SEASCAPE DR,SAN ANTONIO,78251,23,81,43,20
15915169,NORTHSIDE ISD,RHODES ELEM.,3,INDEPENDENT,5714 N KNOLL,SAN ANTONIO,78240-2238,34,48,21,10
15915170,NORTHSIDE ISD,NICHOLS ELEM.,3,INDEPENDENT,9560 BRAUN RD,SAN ANTONIO,78254-6703,14,49,35,20
15915171,NORTHSIDE ISD,DRIGGERS ELEM.,3,INDEPENDENT,6901 SHADOW MIST,SAN ANTONIO,78238,19,58,43,24
15915177,NORTHSIDE ISD,CARNAHAN ELEM.,3,INDEPENDENT,6839 BABCOCK RD,SAN ANTONIO,78249,20,64,38,20
15915178,NORTHSIDE ISD,AUE ELEM.,3,INDEPENDENT,24750 BAYWATER STAGE,SAN ANTONIO,78255,8,87,66,44
15915179,NORTHSIDE ISD,SCARBOROUGH ELE,3,INDEPENDENT,12280 SILVER POINTE,SAN ANTONIO,78238-1699,21,120,78,44
15915180,NORTHSIDE ISD,BEARD ELEM.,3,INDEPENDENT,8725 SONOMA PKWY,HELOTES,78023,2,110,81,51
15915181,NORTHSIDE ISD,BLATTMAN ELEM.,3,INDEPENDENT,3300 N LOOP 1604 W,SAN ANTONIO,78231,7,69,54,31
15915182,NORTHSIDE ISD,OTT ELEM.,3,INDEPENDENT,100 N GROSENBACHER,SAN ANTONIO,78253,21,97,48,23
15915183,NORTHSIDE ISD,WARD ELEM.,3,INDEPENDENT,8400 CAVERN HILL,SAN ANTONIO,78254,19,111,74,30
15915184,NORTHSIDE ISD,HATCHETT ELEM.,3,INDEPENDENT,10700 INGRAM RD,SAN ANTONIO,78245,25,77,49,25
15915185,NORTHSIDE ISD,MEAD ELEM.,3,INDEPENDENT,3803 MID HORIZON DR,SAN ANTONIO,78229,33,75,40,19
15915186,NORTHSIDE ISD,KRUEGER ELEM.,3,INDEPENDENT,9900 WILDHORSE PKWY,SAN ANTONIO,78254-1699,12,97,64,37
15915187,NORTHSIDE ISD,LANGLEY ELEM.,3,INDEPENDENT,14185 BELLA VISTA PLACE,SAN ANTONIO,78253,9,57,36,16
15915188,NORTHSIDE ISD,HOFFMANN ELEM.,3,INDEPENDENT,12118 VOLUNTEER PKWY,SAN ANTONIO,78253,32,119,74,26
