,Unnamed: 0,CAMPUS,DNAME,CNAME,GRADE,District Type,School Site Street Address,School Site City,School Site Zip,Below Grade Level,Approach Grade Level,Meet Grade Level,Master Grade Level,Full Address,Latitude,Longitude,Total Students,% Pass,Quadrant,random,university
1768,1796,79907137,FORT BEND ISD,SIENNA CROSSING,3,INDEPENDENT,10011 STEEP BANK TRACE,MISSOURI CITY,77459-6348,7.0,171.0,148.0,100.0,"10011 STEEP BANK TRACE MISSOURI CITY,TX 77459-6348",29.5049702,-95.5141913,426.0,58.21596244131455,SE,3846,1
811,822,43910145,PLANO ISD,MARTHA HUNT ELE,3,INDEPENDENT,415 ORIOLE DR,MURPHY,75094-5124,6.0,106.0,86.0,70.0,"415 ORIOLE DR MURPHY,TX 75094-5124",33.0392897,-96.6219792,268.0,58.208955223880594,NE,4864,1
507,512,21901105,COLLEGE STATION,ROCK PRAIRIE EL,3,INDEPENDENT,3400 WELSH AVE,COLLEGE STATION,77845-7900,2.0,88.0,73.0,52.0,"3400 WELSH AVE COLLEGE STATION,TX 77845-7900",30.576325300000004,-96.3052466,215.0,58.13953488372093,SE,1613,1
804,815,43910138,PLANO ISD,HIGHTOWER ELEM.,3,INDEPENDENT,2601 DECATUR DR,PLANO,75093-3523,6.0,87.0,74.0,55.0,"2601 DECATUR DR PLANO,TX 75093-3523",33.033394699999995,-96.7841816,222.0,58.108108108108105,NE,3572,1
2503,2536,101920104,SPRING BRANCH I,FROSTWOOD ELEM.,3,INDEPENDENT,12214 MEMORIAL DR,HOUSTON,77024,6.0,113.0,95.0,70.0,"12214 MEMORIAL DR HOUSTON,TX 77024",29.764609000000004,-95.543196,284.0,58.098591549295776,SE,539,1
2656,2689,108904105,EDINBURG CISD,JEFFERSON ELEM.,3,INDEPENDENT,904 S 12TH AVE,EDINBURG,78539,2.0,63.0,55.0,35.0,"904 S 12TH AVE EDINBURG,TX 78539",26.292801899999997,-98.1620667,155.0,58.064516129032256,SE,3917,1
2685,2718,108905103,HIDALGO ISD,DR. ALEJO SALIN,3,INDEPENDENT,411 EBANO,HIDALGO,78557-3004,1.0,51.0,42.0,30.0,"411 EBANO HIDALGO,TX 78557-3004",26.1096294,-98.25572109999999,124.0,58.064516129032256,SE,1524,1
1685,1711,72902101,DUBLIN ISD,DUBLIN ELEM.,3,INDEPENDENT,701 N THOMAS,DUBLIN,76446-0169,0.0,73.0,65.0,36.0,"701 N THOMAS DUBLIN,TX 76446-0169",32.092331099999996,-98.3333318,174.0,58.04597701149425,NE,4040,0
2653,2686,108904102,EDINBURG CISD,BREWSTER ELEM.,3,INDEPENDENT,22420 FM1017,EDINBURG,78541,0.0,21.0,17.0,12.0,"22420 FM1017 EDINBURG,TX 78541",26.5625636,-98.1308988,50.0,58.0,SE,1409,0
2258,2291,101912228,HOUSTON ISD,RIVER OAKS ELEM,3,INDEPENDENT,2008 KIRBY DR,HOUSTON,77019-6016,8.0,100.0,86.0,63.0,"2008 KIRBY DR HOUSTON,TX 77019-6016",29.74744099999999,-95.419576,257.0,57.976653696498055,SE,1599,1
4471,4529,246913123,LEANDER ISD,RIVER RIDGE ELE,3,INDEPENDENT,12900 TIERRA GRANDE TRL,AUSTIN,78732-2464,5.0,106.0,93.0,60.0,"12900 TIERRA GRANDE TRL AUSTIN,TX 78732-2464",30.34593,-97.91553,264.0,57.95454545454545,SE,3490,1
3013,3050,138904001,BENJAMIN ISD,BENJAMIN SCHOOL,3,INDEPENDENT,300 HAYS ST,BENJAMIN,79505,0.0,8.0,8.0,3.0,"300 HAYS ST BENJAMIN,TX 79505",33.5839948,-99.79682109999999,19.0,57.89473684210526,NW,2329,0
1364,1382,61804002,LEADERSHIP PREP,LEADERSHIP PREP,3,CHARTER,8100 TEEL PKWY,FRISCO,75034,2.0,97.0,79.0,57.0,"8100 TEEL PKWY FRISCO,TX 75034",33.1468468,-96.86385250000001,235.0,57.87234042553192,NE,2611,1
2420,2453,101915120,KLEIN ISD,HASSLER ELEM.,3,INDEPENDENT,9325 LOCHLEA RDG DR,KLEIN,77379,6.0,131.0,111.0,77.0,"9325 LOCHLEA RDG DR KLEIN,TX 77379",30.027489799999998,-95.5657257,325.0,57.84615384615385,SE,3489,1
832,843,43914106,WYLIE ISD,CHERI COX ELEM.,3,INDEPENDENT,7009 WOODBRIDGE PKWY,SACHSE,75048,11.0,102.0,89.0,66.0,"7009 WOODBRIDGE PKWY SACHSE,TX 75048",32.984810700000004,-96.56891350000001,268.0,57.83582089552239,NE,767,1
691,702,43901111,ALLEN ISD,KERR ELEM.,3,INDEPENDENT,1325 GLENDOVER DR,ALLEN,75013,6.0,92.0,77.0,57.0,"1325 GLENDOVER DR ALLEN,TX 75013",33.1186943,-96.70182750000001,232.0,57.758620689655174,NE,4369,1
836,847,43914110,WYLIE ISD,WALLY WATKINS E,3,INDEPENDENT,1301 ELM RD,WYLIE,75098,6.0,106.0,89.0,64.0,"1301 ELM RD WYLIE,TX 75098",32.99113,-96.524467,265.0,57.735849056603776,NE,3522,0
2376,2409,101914117,KATY ISD,ROOSEVELT ALEXA,3,INDEPENDENT,6161 S FRY RD,KATY,77494,11.0,153.0,129.0,95.0,"6161 S FRY RD KATY,TX 77494",29.7121587,-95.76542540000001,388.0,57.7319587628866,SE,384,1
757,768,43907115,MCKINNEY ISD,ROY LEE WALKER,3,INDEPENDENT,4000 COCKRILL DR,MCKINNEY,75070,5.0,77.0,66.0,46.0,"4000 COCKRILL DR MCKINNEY,TX 75070",33.1774114,-96.6742395,194.0,57.7319587628866,NE,2627,1
1240,1257,57911104,HIGHLAND PARK I,UNIVERSITY PARK,3,INDEPENDENT,3505 AMHERST AVE,DALLAS,75225-7420,2.0,135.0,111.0,76.0,"3505 AMHERST AVE DALLAS,TX 75225-7420",32.8516636,-96.7910195,324.0,57.71604938271605,NE,1511,1
2160,2193,101912039,HOUSTON ISD,T.H. ROGERS SCH,3,INDEPENDENT,5840 SAN FELIPE ST,HOUSTON,77057-3059,9.0,65.0,58.0,43.0,"5840 SAN FELIPE ST HOUSTON,TX 77057-3059",29.750437599999998,-95.4816315,175.0,57.714285714285715,SE,2510,1
3020,3057,139912101,PRAIRILAND ISD,BLOSSOM ELEM.,3,INDEPENDENT,310 HIGH ST,BLOSSOM,75416-9706,2.0,56.0,47.0,32.0,"310 HIGH ST BLOSSOM,TX 75416-9706",33.659842499999996,-95.38594300000001,137.0,57.66423357664234,NE,933,0
4114,4168,227901123,AUSTIN ISD,MATHEWS ELEM.,3,INDEPENDENT,906 W LYNN ST,AUSTIN,78703-4799,5.0,56.0,49.0,34.0,"906 W LYNN ST AUSTIN,TX 78703-4799",30.278215999999997,-97.760795,144.0,57.638888888888886,SE,4239,1
3854,3901,220907102,KELLER ISD,FLORENCE ELEM.,3,INDEPENDENT,3095 JOHNSON RD,SOUTHLAKE,76092-5611,1.0,85.0,76.0,41.0,"3095 JOHNSON RD SOUTHLAKE,TX 76092-5611",32.939778999999994,-97.199544,203.0,57.635467980295566,NE,2169,1
4080,4134,227820215,KIPP: TEXAS PUB,KIPP: UNITY PRI,3,CHARTER,8500 HWY 6 S,HOUSTON,77083,7.0,104.0,88.0,63.0,"8500 HWY 6 S HOUSTON,TX 77083",29.6867114,-95.646276,262.0,57.63358778625954,SE,3659,1
1773,1801,79907142,FORT BEND ISD,SCANLAN OAKS EL,3,INDEPENDENT,9000 CAMP SIENNA TRAIL,MISSOURI CITY,77459,3.0,157.0,129.0,88.0,"9000 CAMP SIENNA TRAIL MISSOURI CITY,TX 77459",29.492309000000002,-95.533283,377.0,57.55968169761273,SE,1558,0
2392,2425,101914133,KATY ISD,TOM WILSON ELEM,3,INDEPENDENT,5200 FALCON LANDING BLVD,KATY,77494-0159,3.0,149.0,122.0,84.0,"5200 FALCON LANDING BLVD KATY,TX 77494-0159",29.7223953,-95.8225372,358.0,57.54189944134078,SE,4965,1
2844,2878,116901102,CADDO MILLS ISD,KATHRYN GRIFFIS,3,INDEPENDENT,3639 FM 1565,CADDO MILLS,75135,0.0,74.0,63.0,37.0,"3639 FM 1565 CADDO MILLS,TX 75135",33.047857799999996,-96.2369199,174.0,57.47126436781609,NE,4636,1
3672,3717,220810001,WESTLAKE ACADEM,WESTLAKE ACAD.,3,CHARTER,2600 J T OTTINGER RD,WESTLAKE,76262,0.0,57.0,49.0,28.0,"2600 J T OTTINGER RD WESTLAKE,TX 76262",32.9857266,-97.2127859,134.0,57.46268656716418,NE,130,1
461,466,20901114,ALVIN ISD,GLENN YORK ELEM,3,INDEPENDENT,2720 KINGSLEY DR,PEARLAND,77584,10.0,139.0,118.0,83.0,"2720 KINGSLEY DR PEARLAND,TX 77584",29.560482699999998,-95.418529,350.0,57.42857142857143,SE,195,1
2259,2292,101912229,HOUSTON ISD,ROBERTS ELEM.,3,INDEPENDENT,6000 GREENBRIAR ST,HOUSTON,77030-1145,5.0,104.0,87.0,60.0,"6000 GREENBRIAR ST HOUSTON,TX 77030-1145",29.711623600000003,-95.4118726,256.0,57.421875,SE,2332,1
758,769,43907116,MCKINNEY ISD,EARL AND LOTTIE,3,INDEPENDENT,6951 BERKSHIRE RD,MCKINNEY,75070,3.0,72.0,59.0,42.0,"6951 BERKSHIRE RD MCKINNEY,TX 75070",33.17707490000001,-96.7074272,176.0,57.38636363636363,NE,3211,1
4162,4216,227901180,AUSTIN ISD,KIKER ELEM.,3,INDEPENDENT,5913 LA CROSSE AVE,AUSTIN,78739-1747,8.0,151.0,124.0,90.0,"5913 LA CROSSE AVE AUSTIN,TX 78739-1747",30.19155709999999,-97.8812591,373.0,57.37265415549598,SE,338,1
4112,4166,227901121,AUSTIN ISD,LEE ELEM.,3,INDEPENDENT,3308 HAMPTON RD,AUSTIN,78705-2504,8.0,56.0,48.0,38.0,"3308 HAMPTON RD AUSTIN,TX 78705-2504",30.293300899999995,-97.7273063,150.0,57.333333333333336,SE,2889,1
1782,1810,79907151,FORT BEND ISD,CAROLYN AND VER,3,INDEPENDENT,17727 ABERMORE LN,RICHMOND,77407,2.0,132.0,105.0,75.0,"17727 ABERMORE LN RICHMOND,TX 77407",29.6549957,-95.6957513,314.0,57.32484076433121,SE,4496,1
1317,1334,57916118,RICHARDSON ISD,SPRING CREEK EL,3,INDEPENDENT,7667 ROUNDROCK RD,DALLAS,75248-4107,1.0,43.0,37.0,22.0,"7667 ROUNDROCK RD DALLAS,TX 75248-4107",32.9564179,-96.77657950000001,103.0,57.28155339805825,NE,2067,1
1415,1436,61902130,LEWISVILLE ISD,WELLINGTON ELEM,3,INDEPENDENT,3900 KENWOOD DR,FLOWER MOUND,75022-2863,5.0,149.0,124.0,82.0,"3900 KENWOOD DR FLOWER MOUND,TX 75022-2863",33.0306246,-97.0923033,360.0,57.22222222222222,NE,4489,1
3657,3701,214903103,ROMA ISD,FLORENCE J. SCO,3,INDEPENDENT,800 PFC ANGEL J MORENO ST,ROMA,78584-0187,4.0,82.0,70.0,45.0,"800 PFC ANGEL J MORENO ST ROMA,TX 78584-0187",26.408187899999994,-99.0154252,201.0,57.21393034825871,SE,3283,1
3848,3895,220906107,GRAPEVINE-COLLE,HERITAGE ELEM.,3,INDEPENDENT,4500 HERITAGE AVE,GRAPEVINE,76051-5762,5.0,90.0,74.0,53.0,"4500 HERITAGE AVE GRAPEVINE,TX 76051-5762",32.8880666,-97.1070873,222.0,57.207207207207205,NE,552,1
713,724,43905109,FRISCO ISD,BORCHARDT ELEM.,3,INDEPENDENT,4300 WASKOM DR,PLANO,75024-7040,6.0,128.0,106.0,73.0,"4300 WASKOM DR PLANO,TX 75024-7040",33.1025795,-96.77658690000001,313.0,57.18849840255591,NE,2929,1
1301,1318,57916102,RICHARDSON ISD,CANYON CREEK EL,3,INDEPENDENT,2100 COPPER RDG DR,RICHARDSON,75080-2312,1.0,35.0,31.0,17.0,"2100 COPPER RDG DR RICHARDSON,TX 75080-2312",32.98152,-96.7399684,84.0,57.142857142857146,NE,4069,1
3613,3657,212804102,UT TYLER UNIVER,UT TYLER UNIVER,3,CHARTER,3201 N EASTMAN RD,LONGVIEW,75705,0.0,21.0,17.0,11.0,"3201 N EASTMAN RD LONGVIEW,TX 75705",32.557379499999996,-94.7326843,49.0,57.142857142857146,NE,3902,1
1724,1752,79901119,LAMAR CISD,BESS CAMPBELL E,3,INDEPENDENT,1000 SHADOW BEND DR,SUGAR LAND,77479,1.0,80.0,67.0,41.0,"1000 SHADOW BEND DR SUGAR LAND,TX 77479",29.5504711,-95.6616532,189.0,57.142857142857146,SE,2516,1
3858,3905,220907108,KELLER ISD,SHADY GROVE ELE,3,INDEPENDENT,1400 SARAH BROOKS DR,KELLER,76248-2006,4.0,83.0,69.0,47.0,"1400 SARAH BROOKS DR KELLER,TX 76248-2006",32.9085591,-97.2173407,203.0,57.142857142857146,NE,817,1
3424,3466,180902101,VEGA ISD,VEGA ELEM.,3,INDEPENDENT,200 LONGHORN DR,VEGA,79092-0190,1.0,17.0,16.0,8.0,"200 LONGHORN DR VEGA,TX 79092-0190",35.2500131,-102.4197329,42.0,57.142857142857146,NW,666,0
835,846,43914109,WYLIE ISD,DON WHITT ELEM.,3,INDEPENDENT,7520 WOODCREEK WAY,SACHSE,75048,7.0,122.0,104.0,68.0,"7520 WOODCREEK WAY SACHSE,TX 75048",32.9903186,-96.5874315,301.0,57.142857142857146,NE,734,1
1717,1745,79901110,LAMAR CISD,HUGGINS ELEM.,3,INDEPENDENT,NO 1 HUGGINS DR,FULSHEAR,77441-0338,8.0,93.0,80.0,54.0,"NO 1 HUGGINS DR FULSHEAR,TX 77441-0338",29.698207500000002,-95.8933265,235.0,57.02127659574468,SE,84,0
3558,3601,199901112,ROCKWALL ISD,CELIA HAYS ELEM,3,INDEPENDENT,1880 TANNERSON DR,ROCKWALL,75087,5.0,130.0,108.0,71.0,"1880 TANNERSON DR ROCKWALL,TX 75087",32.963831899999995,-96.4348615,314.0,57.00636942675159,NE,3984,1
1399,1420,61902114,LEWISVILLE ISD,MCAULIFFE ELEM.,3,INDEPENDENT,2300 BRIARHILL BLVD,HIGHLAND VILLAGE,75077-7060,5.0,84.0,72.0,46.0,"2300 BRIARHILL BLVD HIGHLAND VILLAGE,TX 75077-7060",33.0808923,-97.0658434,207.0,57.00483091787439,NE,4614,1
801,812,43910134,PLANO ISD,HAUN ELEM.,3,INDEPENDENT,4500 QUINCY LN,PLANO,75024-3849,7.0,101.0,84.0,59.0,"4500 QUINCY LN PLANO,TX 75024-3849",33.0780958,-96.7859588,251.0,56.97211155378486,NE,4352,1
3552,3595,199901106,ROCKWALL ISD,AMY PARKS-HEATH,3,INDEPENDENT,330 LAURENCE DR,HEATH,75032,0.0,71.0,59.0,35.0,"330 LAURENCE DR HEATH,TX 75032",32.8377228,-96.47215759999999,165.0,56.96969696969697,NE,772,1
3281,3323,170902121,CONROE ISD,BUSH ELEM.,3,INDEPENDENT,7420 CROWNRIDGE DR,THE WOODLANDS,77382-1180,8.0,128.0,102.0,78.0,"7420 CROWNRIDGE DR THE WOODLANDS,TX 77382-1180",30.211234,-95.517472,316.0,56.962025316455694,SE,1817,1
4436,4494,246909128,ROUND ROCK ISD,GREAT OAKS ELEM,3,INDEPENDENT,16455 GREAT OAKS DR,ROUND ROCK,78681-4941,5.0,116.0,99.0,61.0,"16455 GREAT OAKS DR ROUND ROCK,TX 78681-4941",30.495317699999998,-97.738549,281.0,56.93950177935943,SE,3299,1
807,818,43910141,PLANO ISD,CENTENNIAL ELEM,3,INDEPENDENT,2609 VENTURA DR,PLANO,75093-4026,4.0,99.0,79.0,57.0,"2609 VENTURA DR PLANO,TX 75093-4026",33.0341201,-96.7995171,239.0,56.90376569037657,NE,2874,1
805,816,43910139,PLANO ISD,STINSON ELEM.,3,INDEPENDENT,4201 GREENFIELD DR,RICHARDSON,75082-3797,8.0,99.0,81.0,60.0,"4201 GREENFIELD DR RICHARDSON,TX 75082-3797",32.9900826,-96.6415145,248.0,56.854838709677416,NE,4630,1
796,807,43910129,PLANO ISD,GULLEDGE ELEM.,3,INDEPENDENT,6801 PRESTON MEADOW DR,PLANO,75024-5462,6.0,124.0,102.0,69.0,"6801 PRESTON MEADOW DR PLANO,TX 75024-5462",33.0679109,-96.7799047,301.0,56.81063122923588,NE,2260,1
1653,1679,71907106,CANUTILLO ISD,CONGRESSMAN SIL,3,INDEPENDENT,7965 ARTCRAFT,EL PASO,79932,6.0,86.0,73.0,48.0,"7965 ARTCRAFT EL PASO,TX 79932",31.883006400000003,-106.58667520000002,213.0,56.8075117370892,NW,4958,1
3658,3702,214903105,ROMA ISD,R.T. BARRERA EL,3,INDEPENDENT,126 N FM 649,ROMA,78584-0187,6.0,55.0,51.0,29.0,"126 N FM 649 ROMA,TX 78584-0187",26.4248212,-98.9303988,141.0,56.737588652482266,SE,1302,0
3335,3377,174801101,STEPHEN F. AUST,STEPHEN F. AUST,3,CHARTER,2428 RAGUET ST,NACOGDOCHES,75965,2.0,40.0,34.0,21.0,"2428 RAGUET ST NACOGDOCHES,TX 75965",31.625815600000003,-94.6468108,97.0,56.70103092783505,NE,2187,1
4139,4193,227901154,AUSTIN ISD,DOSS ELEM.,3,INDEPENDENT,7005 NORTHLEDGE DR,AUSTIN,78731-2988,13.0,126.0,110.0,72.0,"7005 NORTHLEDGE DR AUSTIN,TX 78731-2988",30.3560865,-97.7628075,321.0,56.69781931464174,SE,2003,1
808,819,43910142,PLANO ISD,BOGGESS ELEM.,3,INDEPENDENT,225 GLEN RIDGE DR,MURPHY,75094-4206,8.0,89.0,75.0,52.0,"225 GLEN RIDGE DR MURPHY,TX 75094-4206",33.0207487,-96.6158699,224.0,56.69642857142857,NE,4499,1
1451,1472,61911120,NORTHWEST ISD,WAYNE A. COX EL,3,INDEPENDENT,1100 LITSEY RD,ROANOKE,76262,3.0,107.0,90.0,54.0,"1100 LITSEY RD ROANOKE,TX 76262",33.0096098,-97.2503678,254.0,56.69291338582677,NE,2925,1
3892,3939,220908120,MANSFIELD ISD,ANNA MAY DAULTO,3,INDEPENDENT,2607 N GRAND PENINSULA DR,GRAND PRAIRIE,75054,9.0,134.0,113.0,74.0,"2607 N GRAND PENINSULA DR GRAND PRAIRIE,TX 75054",32.606299199999995,-97.04606340000001,330.0,56.666666666666664,NE,3816,1
768,779,43908102,MELISSA ISD,HARRY MCKILLOP,3,INDEPENDENT,3509 LIBERTY WAY,MELISSA,75454-0127,3.0,111.0,92.0,57.0,"3509 LIBERTY WAY MELISSA,TX 75454-0127",33.2938914,-96.5602403,263.0,56.653992395437264,NE,2564,0
842,853,43919102,LOVEJOY ISD,JOE V. HART ELE,3,INDEPENDENT,450 COUNTRY CLUB RD,LUCAS,75002,9.0,79.0,69.0,46.0,"450 COUNTRY CLUB RD LUCAS,TX 75002",33.0917681,-96.58976740000001,203.0,56.65024630541872,NE,4017,1
1238,1255,57911102,HIGHLAND PARK I,BRADFIELD ELEM.,3,INDEPENDENT,4300 SOUTHERN AVE,DALLAS,75205-2640,4.0,125.0,105.0,63.0,"4300 SOUTHERN AVE DALLAS,TX 75205-2640",32.83613640000001,-96.8079905,297.0,56.56565656565657,NE,1464,1
1345,1362,57922107,COPPELL ISD,LAKESIDE ELEM.,3,INDEPENDENT,1100 VILLAGE PKWY,COPPELL,75019-6304,3.0,80.0,63.0,45.0,"1100 VILLAGE PKWY COPPELL,TX 75019-6304",32.9722739,-96.9589118,191.0,56.544502617801044,NE,864,1
697,708,43901117,ALLEN ISD,BEVERLY CHEATHA,3,INDEPENDENT,1501 HOPEWELL DR,ALLEN,75013,4.0,93.0,74.0,52.0,"1501 HOPEWELL DR ALLEN,TX 75013",33.1226336,-96.6871199,223.0,56.502242152466366,NE,4685,1
1632,1658,71905124,YSLETA ISD,EASTWOOD HEIGHT,3,INDEPENDENT,10530 JANWAY DR,EL PASO,79925,3.0,91.0,74.0,48.0,"10530 JANWAY DR EL PASO,TX 79925",31.7667048,-106.34260800000001,216.0,56.48148148148148,NW,3961,1
1346,1363,57922108,COPPELL ISD,TOWN CENTER ELE,3,INDEPENDENT,185 N HEARTZ RD,COPPELL,75019-5813,10.0,91.0,77.0,54.0,"185 N HEARTZ RD COPPELL,TX 75019-5813",32.9746477,-96.9902234,232.0,56.46551724137931,NE,2280,1
739,750,43905136,FRISCO ISD,NEWMAN ELEM.,3,INDEPENDENT,12333 BRIAR RIDGE RD,FRISCO,75033,7.0,111.0,91.0,62.0,"12333 BRIAR RIDGE RD FRISCO,TX 75033",33.1808225,-96.8584696,271.0,56.457564575645755,NE,835,1
1341,1358,57922101,COPPELL ISD,PINKERTON ELEM.,3,INDEPENDENT,260 SOUTHWESTERN BLVD,COPPELL,75019-4519,3.0,85.0,69.0,45.0,"260 SOUTHWESTERN BLVD COPPELL,TX 75019-4519",32.9487081,-96.99819129999999,202.0,56.43564356435643,NE,4330,1
4309,4366,240901108,LAREDO ISD,LEYENDECKER ELE,3,INDEPENDENT,1311 GARDEN ST,LAREDO,78040-2499,6.0,38.0,34.0,23.0,"1311 GARDEN ST LAREDO,TX 78040-2499",27.5209627,-99.5087793,101.0,56.43564356435643,SW,1089,1
3065,3102,149901102,GEORGE WEST ISD,GEORGE WEST PRI,3,INDEPENDENT,405 TRAVIS ST,GEORGE WEST,78022-3418,2.0,73.0,58.0,39.0,"405 TRAVIS ST GEORGE WEST,TX 78022-3418",28.3354624,-98.1165762,172.0,56.395348837209305,SE,2337,1
3457,3500,184907103,ALEDO ISD,STUARD ELEM.,3,INDEPENDENT,200 THUNDERHEAD LN,ALEDO,76008,2.0,91.0,75.0,45.0,"200 THUNDERHEAD LN ALEDO,TX 76008",32.6740012,-97.6474363,213.0,56.33802816901409,NE,4008,0
3871,3918,220907124,KELLER ISD,EAGLE RIDGE ELE,3,INDEPENDENT,4600 ALTA VISTA RD,KELLER,76244,10.0,128.0,102.0,76.0,"4600 ALTA VISTA RD KELLER,TX 76244",32.916992,-97.286801,316.0,56.32911392405063,NE,1046,1
2397,2430,101914140,KATY ISD,JENKS ELEM.,3,INDEPENDENT,27602 WESTRIDGE CREEK LN,KATY,77494,10.0,193.0,154.0,107.0,"27602 WESTRIDGE CREEK LN KATY,TX 77494",29.742416,-95.846676,464.0,56.25,SE,4899,1
726,737,43905122,FRISCO ISD,SEM ELEM.,3,INDEPENDENT,12721 HONEY GROVE DR,FRISCO,75035,7.0,103.0,84.0,57.0,"12721 HONEY GROVE DR FRISCO,TX 75035",33.1826387,-96.7774236,251.0,56.17529880478088,NE,1143,1
444,449,19909101,SIMMS ISD,JAMES BOWIE ELE,3,INDEPENDENT,7497 US HWY 67 W,SIMMS,75574-0009,1.0,31.0,26.0,15.0,"7497 US HWY 67 W SIMMS,TX 75574-0009",33.3331425,-94.5418141,73.0,56.16438356164384,NE,3287,0
2393,2426,101914134,KATY ISD,RAY AND JAMIE W,3,INDEPENDENT,28727 N FIRETHORNE RD,KATY,77494-0159,7.0,150.0,125.0,76.0,"28727 N FIRETHORNE RD KATY,TX 77494-0159",29.754376399999998,-95.8596194,358.0,56.14525139664804,SE,270,0
459,464,20901112,ALVIN ISD,LAURA INGALLS W,3,INDEPENDENT,2225 KINGSLEY,PEARLAND,77584,9.0,120.0,94.0,71.0,"2225 KINGSLEY PEARLAND,TX 77584",29.5714752,-95.4169389,294.0,56.12244897959184,SE,1068,1
286,291,15910136,NORTH EAST ISD,HARDY OAK ELEM.,3,INDEPENDENT,22900 HARDY OAK BLVD,SAN ANTONIO,78258-3914,6.0,116.0,93.0,63.0,"22900 HARDY OAK BLVD SAN ANTONIO,TX 78258-3914",29.65607259999999,-98.49441490000001,278.0,56.115107913669064,SE,791,1
2501,2534,101920102,SPRING BRANCH I,BUNKER HILL ELE,3,INDEPENDENT,11950 TAYLORCREST,HOUSTON,77024-4399,3.0,94.0,78.0,46.0,"11950 TAYLORCREST HOUSTON,TX 77024-4399",29.774351,-95.538889,221.0,56.10859728506787,SE,4639,1
488,493,20908103,PEARLAND ISD,SHADYCREST ELEM,3,INDEPENDENT,2405 SHADY BEND DR,PEARLAND,77581-5412,4.0,137.0,114.0,66.0,"2405 SHADY BEND DR PEARLAND,TX 77581-5412",29.548112100000004,-95.2554996,321.0,56.074766355140184,SE,664,1
1889,1919,91918101,TOM BEAN ISD,TOM BEAN ELEM.,3,INDEPENDENT,105 EUBANKS,TOM BEAN,75489-0128,0.0,40.0,36.0,15.0,"105 EUBANKS TOM BEAN,TX 75489-0128",33.519227799999996,-96.4800772,91.0,56.043956043956044,NE,1483,0
4204,4260,227909102,EANES ISD,CEDAR CREEK ELE,3,INDEPENDENT,3301 PINNACLE RD,AUSTIN,78746-7499,6.0,85.0,70.0,46.0,"3301 PINNACLE RD AUSTIN,TX 78746-7499",30.269160499999998,-97.8048688,207.0,56.03864734299517,SE,2904,1
743,754,43905140,FRISCO ISD,NORRIS ELEM.,3,INDEPENDENT,10101 SHEPTON LN,FRISCO,75035,8.0,76.0,64.0,43.0,"10101 SHEPTON LN FRISCO,TX 75035",33.160765600000005,-96.7453285,191.0,56.02094240837696,NE,4173,1
4243,4300,232901001,KNIPPA ISD,KNIPPA SCHOOL,3,INDEPENDENT,100 KESSLER ST,KNIPPA,78870-0099,3.0,30.0,25.0,17.0,"100 KESSLER ST KNIPPA,TX 78870-0099",29.2997001,-99.63349190000001,75.0,56.0,SW,4280,0
2390,2423,101914131,KATY ISD,BONNIE HOLLAND,3,INDEPENDENT,23720 SEVEN MEADOW PKWY,KATY,77449,16.0,161.0,130.0,95.0,"23720 SEVEN MEADOW PKWY KATY,TX 77449",29.7070062,-95.7863653,402.0,55.97014925373134,SE,3236,1
3282,3324,170902122,CONROE ISD,POWELL ELEM.,3,INDEPENDENT,7332 COCHRANS CROSSING DR,THE WOODLANDS,77381-6282,5.0,139.0,110.0,73.0,"7332 COCHRANS CROSSING DR THE WOODLANDS,TX 77381-6282",30.198648,-95.51119,327.0,55.96330275229358,SE,4662,1
2371,2404,101914112,KATY ISD,HAZEL S. PATTIS,3,INDEPENDENT,19910 STONELODGE,KATY,77450-5200,4.0,188.0,155.0,89.0,"19910 STONELODGE KATY,TX 77450-5200",29.7549067,-95.7153394,436.0,55.96330275229358,SE,604,1
3640,3684,212906114,WHITEHOUSE ISD,STANTON-SMITH E,3,INDEPENDENT,500 ZAVALA TRL,WHITEHOUSE,75791,1.0,73.0,62.0,32.0,"500 ZAVALA TRL WHITEHOUSE,TX 75791",32.2328098,-95.23066429999999,168.0,55.95238095238095,NE,1188,0
289,294,15910139,NORTH EAST ISD,ROAN FOREST ELE,3,INDEPENDENT,22710 ROAN PARK,SAN ANTONIO,78259-2682,5.0,95.0,81.0,46.0,"22710 ROAN PARK SAN ANTONIO,TX 78259-2682",29.65325,-98.439327,227.0,55.947136563876654,SE,981,1
609,619,31903114,HARLINGEN CISD,ZAVALA ELEM.,3,INDEPENDENT,1111 N B ST,HARLINGEN,78550-4835,4.0,41.0,35.0,22.0,"1111 N B ST HARLINGEN,TX 78550-4835",26.2033,-97.6989808,102.0,55.88235294117647,SE,3033,1
4222,4278,227913104,LAKE TRAVIS ISD,LAKE POINTE ELE,3,INDEPENDENT,11801 SONOMA DR,AUSTIN,78738,7.0,106.0,86.0,57.0,"11801 SONOMA DR AUSTIN,TX 78738",30.30937759999999,-97.9205599,256.0,55.859375,SE,1592,0
4108,4162,227901117,AUSTIN ISD,GULLETT ELEM.,3,INDEPENDENT,6310 TREADWELL BLVD,AUSTIN,78757-4399,3.0,80.0,64.0,41.0,"6310 TREADWELL BLVD AUSTIN,TX 78757-4399",30.34354309999999,-97.74867290000002,188.0,55.851063829787236,SE,3170,1
